"ACCESSION_NUMBER","SUBMISSION_TYPE","FILING_DATE","CIK","FILE_NUMBER","PERIOD","ISAMENDMENT","PROGRESSUPDATE","NATUREOFAMENDMENT","NAMEOFISSUER","LEGALSTATUSFORM","LEGALSTATUSOTHERDESC","JURISDICTIONORGANIZATION","DATEINCORPORATION","STREET1","STREET2","CITY","STATEORCOUNTRY","ZIPCODE","ISSUERWEBSITE","COMPANYNAME","COMMISSIONCIK","COMMISSIONFILENUMBER","CRDNUMBER"
"0001665160-17-000710","C",20171222,1723719,"020-23879",NA,0,"","","Space Division Inc.","Corporation","","DE","2017-11-16","1313 W. 135th Street","","Gardena","CA","90247","https://www.spacedivisioninc.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000716","C",20171227,1705406,"020-23884",NA,0,"","","TOTALSOURCE SOLUTIONS INCORPORATED","Corporation","","VA","2016-10-31","1020 John Paul Jones Drive","","Stafford","VA","22554","https://www.totalsource.solutions","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000720","C",20171229,1726640,"020-23889",NA,0,"","","MedChain, Inc.","Corporation","","DE","2017-10-16","1175 Castle Pointe Drive","","Castle Rock","CO","80104","https://med-chain.co","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-17-000723","C",20171229,1699129,"020-23891",NA,0,"","","Chores R Us LLC","Limited Liability Company","","DE","2016-05-23","222 W Merchandise Mart Plaza","Suite1212","Chicago","IL","60654","www.chorerelief.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000008","C",20180103,1470705,"020-23896",NA,0,"","","Epec Holdings, Inc.","Corporation","","FL","2008-10-09","1776 Pine Island Rd.","Suite 316","Plantation","FL","33322","http://www.jamesfchyde.com/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000011","C",20180105,1701251,"020-23900",NA,0,"","","BioClonetics Immunotherapeutics, Inc.","Corporation","","TX","2009-12-24","1756 Bison Meadow Lane","","Heath","TX","75032","www.bioclonetics.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000015","C",20180108,1720258,"020-23902",NA,0,"","","StorEn Technologies, Inc.","Corporation","","DE","2017-01-03","25 Health Sciences Drive","","Stony Brook","NY","11790","www.storen.tech","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000018","C",20180109,1701378,"020-23904",NA,0,"","","Powell Development Group, Inc.","Corporation","","NV","2013-03-20","2600 W. 225th Street","","Torrance","CA","90505","www.galacticcap.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000026","C",20180110,1714911,"020-23909",NA,0,"","","GarageSkins, Inc.","Corporation","","OR","2014-12-24","2191 Meadow Place SE","","Albany","OR","97322","http://www.garageskins.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000030","C",20180110,1720844,"020-23911",NA,0,"","","Wolfie Services Corporation","Corporation","","PA","2015-12-29","65 Golf Club Drive","","Langhorne","PA","19047","www.wolfie.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000035","C",20180112,1627979,"020-23913",NA,0,"","","Nexus eWater Holdings, Inc.","Corporation","","DE","2014-12-08","5945 Pacific Center Blvd","Suite 509","San Diego","CA","92121","www.nexus-e-water.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000047","C",20180123,1710459,"020-23933",NA,0,"","","LafayetteRaceway.com, LLC","Limited Liability Company","","IN","2016-06-24","1705 Greenbush Street","","Lafayette","IN","47904","www.LafayetteRaceway.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000050","C",20180123,1725056,"020-23935",NA,0,"","","ATARI GAME PARTNERS, CORP.","Corporation","","DE","2017-09-07","286 Madison Avenue, 8th Floor","","New York","NY","10017","www.atarigamepartners.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000053","C",20180124,1718028,"020-23940",NA,0,"","","REVOHLOO, INC.","Corporation","","NV","2017-03-07","5710 E. Tropicana Ave #2046","","Las Vegas","NV","89122","https://www.revohloo.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000056","C",20180124,1729080,"020-23942",NA,0,"","","Abstract Tube Inc.","Corporation","","DE","2017-11-14","82 Chittenden Ave","","Columbus","OH","43201","http://www.abstract.tube/","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000064","C",20180126,1729410,"020-23947",NA,0,"","","Seam Tech, Inc.","Corporation","","CA","2017-02-23","4937 Templeton Street","","Los Angeles","CA","90032","www.seamla.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000070","C",20180129,1727925,"020-23951",NA,0,"","","NetObjex, INC.","Corporation","","DE","2015-09-30","92 Corporate Park","Suite C750","Irvine","CA","92606","http://www.netobjex.com","StartEngine Capital, LLC",1665160,"007-00007",NA
"0001665160-18-000077","C",20180131,1729095,"020-23958",NA,0,"","","CAKNOW Technology Inc.","Corporation","","DE","2016-02-04","3452 E Foothill Blvd.","Suite 720","Pasadena","CA","91107","https://www.caknow.com","StartEngine Capital, LLC",1665160,"007-00007",NA
